================ Training Loss (Tue May 10 14:39:24 2022) ================
================ Training Loss (Tue May 10 14:39:41 2022) ================
(dataset: train, epoch: 1, iters: 1, time: 0.106, data: 0.329) all: 1.841 color: 0.515 lm: 1.327 
(dataset: train, epoch: 17, iters: 368, time: 0.208, data: 0.003) all: 0.255 color: 0.232 lm: 0.023 
(dataset: train, epoch: 17, iters: 468, time: 0.208, data: 0.002) all: 0.257 color: 0.237 lm: 0.021 
(dataset: train, epoch: 17, iters: 568, time: 0.208, data: 0.003) all: 0.253 color: 0.227 lm: 0.026 
(dataset: train, epoch: 17, iters: 668, time: 0.208, data: 0.002) all: 0.258 color: 0.235 lm: 0.023 
(dataset: train, epoch: 17, iters: 768, time: 0.208, data: 0.003) all: 0.250 color: 0.230 lm: 0.020 
(dataset: train, epoch: 18, iters: 41, time: 0.208, data: 0.003) all: 0.251 color: 0.231 lm: 0.020 
(dataset: train, epoch: 18, iters: 141, time: 0.208, data: 0.003) all: 0.239 color: 0.217 lm: 0.022 
(dataset: train, epoch: 18, iters: 241, time: 0.208, data: 0.003) all: 0.238 color: 0.221 lm: 0.017 
(dataset: train, epoch: 18, iters: 341, time: 0.208, data: 0.003) all: 0.286 color: 0.268 lm: 0.018 
(dataset: train, epoch: 18, iters: 441, time: 0.208, data: 0.003) all: 0.249 color: 0.231 lm: 0.018 
(dataset: train, epoch: 18, iters: 541, time: 0.208, data: 0.003) all: 0.236 color: 0.218 lm: 0.018 
(dataset: train, epoch: 18, iters: 641, time: 0.208, data: 0.003) all: 0.229 color: 0.210 lm: 0.018 
(dataset: train, epoch: 18, iters: 741, time: 0.208, data: 0.003) all: 0.259 color: 0.236 lm: 0.022 
(dataset: train, epoch: 19, iters: 14, time: 0.208, data: 0.003) all: 0.226 color: 0.211 lm: 0.016 
(dataset: train, epoch: 19, iters: 114, time: 0.208, data: 0.004) all: 0.252 color: 0.230 lm: 0.023 
(dataset: val, epoch: 19, iters: 114, time: 0.262, data: 0.004) 
(dataset: train, epoch: 19, iters: 214, time: 0.208, data: 0.003) all: 0.236 color: 0.218 lm: 0.018 
(dataset: train, epoch: 19, iters: 314, time: 0.208, data: 0.003) all: 0.257 color: 0.231 lm: 0.025 
(dataset: train, epoch: 19, iters: 414, time: 0.208, data: 0.003) all: 0.253 color: 0.230 lm: 0.023 
(dataset: train, epoch: 19, iters: 514, time: 0.208, data: 0.003) all: 0.259 color: 0.240 lm: 0.019 
(dataset: train, epoch: 19, iters: 614, time: 0.208, data: 0.003) all: 0.266 color: 0.243 lm: 0.023 
(dataset: train, epoch: 19, iters: 714, time: 0.208, data: 0.003) all: 0.227 color: 0.207 lm: 0.021 
(dataset: train, epoch: 19, iters: 814, time: 0.208, data: 0.003) all: 0.250 color: 0.230 lm: 0.020 
(dataset: train, epoch: 20, iters: 87, time: 0.208, data: 0.003) all: 0.249 color: 0.226 lm: 0.023 
(dataset: train, epoch: 20, iters: 187, time: 0.208, data: 0.003) all: 0.234 color: 0.216 lm: 0.018 
(dataset: train, epoch: 20, iters: 287, time: 0.208, data: 0.003) all: 0.250 color: 0.225 lm: 0.025 
(dataset: train, epoch: 20, iters: 387, time: 0.208, data: 0.003) all: 0.241 color: 0.212 lm: 0.030 
(dataset: train, epoch: 20, iters: 487, time: 0.208, data: 0.003) all: 0.241 color: 0.220 lm: 0.021 
(dataset: train, epoch: 20, iters: 587, time: 0.208, data: 0.003) all: 0.236 color: 0.212 lm: 0.023 
(dataset: train, epoch: 20, iters: 687, time: 0.208, data: 0.003) all: 0.220 color: 0.203 lm: 0.017 
(dataset: train, epoch: 20, iters: 787, time: 0.208, data: 0.003) all: 0.245 color: 0.223 lm: 0.021 
